review_comment_message,feeling
produto chegou antes prazo combinado deforma segura fiquei satisfeito,2
mada declarar,2
ainda pude testar chegou tempo record,2
entrega rápida produto bacana,2
to esperando agora nunca recebi nenhum relógio comprei recomendado loja,0
espero nunca comprar ter responder tipo avaliação,0
entrega realizada antes prazo estabelecido produto bem embalado aprovado,2
imagens mostrava foto diferente produto recebi,1
comprei voltagem veio v,0
entrega perfeita bem antes data prevista,2
adorei produto ainda coloquei lugar testar fixação adesivo espero bom achei pouco maior porém satisfeita chegou antes prazo estipulado,2
apesar entrega dentro prazo tempo longo comparando anoutras compras costumo fazer via internet,1
tudo ok,2
produto mal feito torto soldas mal feita,0
comprei produto defeito consigo trocar erro sit,0
chegou perfeito estado antes prazo previsto obrigada rapidez,2
almofada linda cor linda grandona fiz excelente compra,2
otimo,2
ótimos parceiros parabén,2
relógio chegou funcionar original oakley,1
rapido pratico compra,2
site dizia chegaria ainda cheg,0
realiza promete instalado fica vazando cartucho seguindo instruções vale pena dinheiro jogado,0
entrega atrasada previsão vai chegar,0
ainda nao recebi maquina solda,0
tudo ok,1
loja super perfeita compre fala pra cliente chega ante prazo,2
sempre comprei problema porém dessa vem sim produtos chegou agora,0
tudo dentro esperado correio trouxe embalagem parecendo atropelado trem pessar tres produtos pra ver perda pois vazando,2
eficiente entrega produto qualidad,2
tudo certinho obrigada,2
fiquei satisfeita,2
atendimento nota produto muita qualidade prazo entrega respeitado aliás chegou antes tempo dado inicialmente parabén,2
produto excelente recomendo,2
produto maravilhoso recomendo,2
recomendo,2
bom,2
data prevista entrega urgência desse produto nada,0
produto chegou porem embalagem aberta braços cadeira encaixa parafuso quebrado prazo entrega bom,1
produto bom,2
recebi agora mercadoria,0
loja entregou antes esperado,2
adoro comprar loja,2
produto bom entrega rapida frete caro,1
dentro prazo perfeito estado gostei,2
loja confiavel ainda recebi produto,2
compra feita entregue prazo recomendo loja site lannist,2
preciso receber produto deve ter sido entregue outra pessoa,0
bom,2
recomendo,2
linda mochila entrega rápida,2
recomendo compra,2
bom,2
satisfeito,2
cumpriu prazo entrega passaram dois dias combinado,0
recomendo produto,2
garrafa linda ven copinhos valeu pena chegou antes prazo previsto ame super recomendo,2
produto ótimo sobrinho adorou todas ferramentas funcionais bancada altura certa vale pena,2
empresa prestou ótima assistência produto chegou ótimo estado,2
somente adentro terminal carregador compatível tomadas uso atualmente sendo necessário adaptador solicito encaminhe conector compatível abraço,2
produto nao vem embalagem origiaal simplismente colocado gota base qualquer tubinho plastico nao original simplesmente anuncio verdadeiramente enganacao,0
compra feita previsão entrega dia agora nada esquema entrega dessa loja fracasso,0
chegou rápido,2
avaliação ta sendo pq aqui aparece recebi produto ainda chegou casa favor queria saber q acontecendo atenciosamente juliana,0
material inferior demonstrava imagem,0
compra chegou antes data marcada gostei produto recomendo,1
comprei coisa entregaram outra consigo fazer troca consigo falar centr,0
parabéns empresa então site lannister br obrigado,2
gostei produto,2
chegou correto antes prazo,2
ótimo produto prazo entrega,2
apenas caixa produto veio avariada,0
sempre compro baratheon recomendo ótimos produtos entrega rapida,2
mês comprei nenhum retorno,0
bem nao fiquei satisfeita porque comprei errado nao queria lençol solteiro berço sim lençol solteiro pano lençois nao boa qualidad,1
boa reforçada costume chegou bem antes previsto satisfeita,2
produto ruim ver hora direito porque numero tao pequeno quase enxegar direit,1
comprei produto dia seguinte recebi mail stark dizendo tentar novamente outro cartão fiz compra compra saiu duplicata pedi cancelamento dess,2
entrega sempre rápida certa,2
produto entregue dentro prazo,2
durante transporte correio informou produto havia perdido mandei mail empresa deram resposta produto chegou residência alguns dia,2
celular bom gostei bem rápido super leve recomendo,2
parabéns presteza atendimento,2
bom produto entrega prazo,2
tampa ficou pequena cobriu todo cooktoop,0
foto bolsa parece maior pessoalmente pequenininha porém qualidade material parece boa resistente bonitinha,1
,0
bom,2
produto otima qualidade chegou rapido,2
apesar demora entrega tudo bem,0
produto características fragilidad,1
produto propaganda chegou outro,0
cartucho hp colorido funciona impressora reconhece hp solicito instruções devolução produto dinheiro pago reclame aqui varias queixas produtos targaryen,0
recebi produto condições avaliação,0
material entregue prazo,2
pedi dois kit chegou apenas outro cheg,0
ainda testei chegou antes prazo previsto,2
excelente entregou produto antes prazo determinado,2
entregue chupeta veio apenas esterilizador vapor microondas philips av,0
lindo kit entrega rápida recomendo,2
instalei funcionando perfeitament,2
indo meses compra agora nada produto simplesmente péssimo recomendo,0
adorei produto bom,2
bom,2
pedido entregue antes prazo voltarei comprar nessa loja,2
chegou dentro prazo produto ótima qualidad,2
produto chegou correto,2
amei produto lindo bem feito chegou bem rápido,2
ok,2
cabo funcionou nenhum dispositivos confirmando compatibilida,0
recomendo loja rapidez eficiência,2
otima,2
bom fornecedor nada reclamar,2
produto recomendável,2
demorou correio entregar,1
recebi produto bom estado antes esperado,2
adorei,2
ótimo,2
atendimento perfeito dando garantia client,2
produto chegou dentro prazo,2
tudo certíssimo objeto certo tempo previsto preço adequado,2
comprei três cabos usb macho femea cada m dois vieram defeitos windows reconhec,0
gostei produto,2
trata empresa renomada portanto virtudes desta empresa grau confiabilidade honestidade recomendo todos interessarem podem fazer compras através desse sit,2
recebi tempo recorde previsão entrega chegou dia,2
bom atendimento bom retorno bom serviço,2
bom aparelho ótima entrega,2
produto nao poder avaliado ainda nao recebi,0
bom produto princesa aprov,2
amo comprar lojas lannister parabéns satisfeita obrigada tudo bjks ficam deu,2
entregue antes prazo,2
foda,2
tudo certo,1
chegou super rapio produto eh excelente vou comprar pra dar present,2
caneca fera timão pra coleção,2
so achei preco frete alto,1
vcs veem cad ver compras baratheon deveria ganhar premio além comprar pra mim recomendo ainda compro outros pedem compro pq acho produtos maravilhoso grata elz,2
comprei produtos sendo recebi faltou lençol branco elástico quase fico prejuizo,0
tudo certo,2
satisfeita,2
recomendo,2
entrega super prazo usei ainda,2
entrega super rápida produto excelent,2
aguardando posicionamento loja sobre entrega,0
bom confiável,2
produto comprado mbp fornecido mpb ,0
produto comprei entregue reclamei ainda obtive resposta,0
gostei cores lindas produto vem madeira leve parece material tipo contact leve placa bonito,2
produto péssimo emblema ponta cabeça invertido contém avaria fiz contato loja através mail ninguém respondeu quero dinheiro volta assim instruções sobr,0
gostei fone pois boa qualidade som fiquei algumas horas h conectado celular nada pedir pra carregar ainda testei radio acredito ok,2
comprar produto dizia havia estoque comprei produto ficou pendente pq havia estoque porém descontado cartão,0
tapete bonito,2
comprei iso recebi nitro hard,0
recebi produto loja respondeu nenhuma reclamações duvida,0
produto bom,2
loja maravilhosa,2
compro loja tempo recomendo,2
recebi cortina ainda,0
amei lindo,2
bom,2
recebin antes prazo ainda ano vou compa novo vc,2
esperando segunda parte encomenda recebi parte pedido continuo aguardo obrigada,2
bom produto,2
otimos produtos otima entrega elogio,2
recomendo compra nessa loja,2
gostei entregaram antes prazo deu tudo certo,2
super recomendo,2
super recomendo,2
achei ótimo achei tecido misto fino geral bom custo benefício,2
preço bom entrega prazo,0
tentei obter resposta sobre atraso pedido diretamente fornecedor obtive resposta precisei entrar contato lannister intrrmediar,0
caixa veio bem amassada parecia produto usado dvds chegou caixa quebrada borda outros vieram lacrados brind,0
ainda testei produto,2
produto veio tempo esperado,2
comprei pelúcia creeper minecraft qualidade loja liga sac consegue falar ninguém,0
comprei cartuchos recebi apenas unidades após prazo entrega ate hoje tentando entrar contato solução sucesso,0
recebi hoje produto meses compra,0
ótimo,2
bom compraria novo,2
cliente baratheon adorooooooo realmente recomendo,2
falta respeito resumi sentimentos relação vc,0
produto aparentemente bom,1
simplesmente recebi produto,0
gostei recomento todos comprar,2
comprei dois pendentes fazer retirada correios aguardado posição empresa,0
satisfeito,1
produto bom memory foam coube macbook air pouquinho folga bolso externo bem espaçoso cabe tranquilidade cabo alimentação notebook prova água,2
produto hoje unidade correio cajamar chegou casa estravi,0
quadros lindos bem acabados amei,2
produto entregu,0
falta receber protetor porta jogos cama solteiro,0
tudo cima obrigada,2
veio produto correto solicitei,0
produto qualidad,1
excelent,2
recebi produto diferente comprei abri reclamação dias continuo aguardando solução,0
chegou antes tempo previsto lindo perfeito relógio amiga decretação adotar,2
produtos veio errado,0
produto incompleto,0
encomenda chegou antes prazo estipulado porém produto veio desacordo pedido invés vir cartucho pg preto cartuchu pg color vieram doi pg preto ag,0
tudo rápido compra pagamento chegada faltou próximo produto deixaram desejar comprei site porém asessei loja vendedor explic,2
entregas corretas antes prazo estimado melhor preço internet amo comprar lannister tanto site quanto lojas fisicas sempre promoções obrigada satisfeita,2
entrega prazo produto qualidade filhas amaram parabéns pra loja,2
produto dentro conformes entrega rápida,2
entrega prazo produto qualidade preço justo recomendo,2
produto bom correspondente informações fornecidas gostei aentrega super rapida apesar erro correio,2
encaminhado super rapido bem embalado tudo certo,2
descrição produto indicado possui tecido superior inferior algodão verdade algodão poliéster propaganda enganosa,1
arranhador veio lascas base conta embalagem inadequada sugere próximos enviados caixa apenas embalados papel,1
lençol ótima qualidade cor pouco clara foto,2
satisfação total produto qualidade prazo entrega conforme solicitado programado,2
solicitei troca porém momento nada enviaram produto errado agora informam troca pode feita,0
comprei esperei esperei agora nada ainda esperança sabe algum problema venha resolvido,0
comprei celular smartphone chegou recomendo comprar nesta loja targaryen lannister porque chegou produto comprei data pra chegar dia,0
produto excelent,2
chegou dentro prazo ótima qualidade porém veio pequeno arranhão recomendo,2
entrega prazo correto produto perfeito estado,2
recebi produto antes menos prazo entrega produto ótima qualidad,2
produto correto entregue prazo,2
satisfeito,2
produto bom recomendaria si,1
problema loja sim produto deixar carregando dia inteiro pra ouvir meia hora música funciona enquanto carrega desliga sozinho,0
chegou rápido preço bom pontas massagem achei pouco fracas cuidado dura,2
nenhuma ocorrência tudo dentro programado,2
forma descrita chegou bem antes prazo,2
bom comprado antes recomendo site seguro maior satisfação client,2
gostei fiquei dúvida começo agora compro novamente recomendo produto entregue antes prazo,2
deveria melhorar prazo demora tempo entregar mercadoria produto permaneceu alguns dias parado podia ter sido encaminhado,0
obtive retorno momento,2
material entregue pacote papel kraft recebi mercadoria pacote todo aberto rasgado tipo empacotamento nao recomendado correio,1
problema correios embora chegou prazo pra chegado bem antes falando produto tô satisfeito superou minhaa expectativa targaryen baratheon tão parabén,2
excelente produto lindo amei,2
site seguro,2
amei produto entrega bem antes data prevista,2
tudo certo compra entrega,2
recebi produto corretament,1
satisfeito,2
entrega super rápida recomendo,2
excelente produto,2
excelente atendimento rapidez execução entrega,2
ótimo produto super recomendo,2
produto atraso,0
boa rápida eficient,2
produto bonito excelente qualidade melhor recebi antes prazo estabelecido,2
compro tudo stark nunca precisei trocar nada sempre chega antes certinho amo comprar stark lojas entregam tbm,2
aguardando espero chegue logo,2
veio tranquilo dentro prazo recomendo,2
lannister nota dez,2
capa escolhi comprado deu certo sofá imaginei dar trabalho pra trocar fiquei errada primeira vez acontec,1
fiquei feliz compra produtos chegaram bem antes data prevista fiquei surpresa mercadoria bem embalada tudo certinho amei super recomendo,2
produto bom,2
mostroario produto outro,2
relógio defeito onde efetuo troca reparo,0
achei meio fraco conforme descrito vai servir q proposto,2
amo comprar coptaime muitos anos compro sempre ótimos produtos entega sempre antes praso parabéns melhor site conheço,2
bom ferro fio,2
problema correios continua serviço vergonhoso,2
couro sintético qualidade bem razoável produto cumpre papel basicamente dar proteção tablet qualidade capas targus encontra ml exemplo,2
momento recebi,0
produto chegou antes data prevista ótimo atendimento entrega recomendarei família amigo,2
produto bom esperava melhor,2
chegou rápidinho perfeito estado recomendo,2
paguei ainda recebi toda certeza receberei simples controle remoto péssimo serviço loja recomendada paguei vista data compra,0
bom rápido entrega,2
produto perfeito,2
amei tesoura corte preciso recomendo quer tesoura qualidade entrega rapida,2
colcha comprei vinha peças veio peças colcha porta travesseiro então caso ficou faltando porta travesseiro então aguardo resposta vendedor,0
produto bonito,2
maravilha super contente chegou antes prazo acordo comprei tudo perfeito,2
recomendo produto qualidad,2
gosto compra lojas lannist,2
preço justo produto qualidad,2
entregaram prazo tá dias mísera tesoura comprar aqui pq empresa comprometeu manda email pra tranquilizar,0
mau acabado recomendo,0
paguei comprei,2
embora funcione pilhas grandes funciona bem recomendo,2
entregas separadas ainda chegou todo pedido,1
produto veio vencimento dezembro comprei outros vencimento ano,2
sempre atendendo maior responsabilidade site adorooo,2
produto entregue bem acondicionado dentro prazo,2
entregaram tapete errado aguardando providencia,0
bom,2
produto ótima qualidade fácil instalação entrega rápida,2
produto entregue porém site correios consta entregue aguardando resposta,0
recomendo,2
produto entregue atraso previsão preciso retorno urgencia,0
ainda utilizei produto então posso opinar sobre contudo recomendo loja recebi produto forma extremamente rápida,2
produto chegou prazo intacto porém funciona coloquei aspirador carro tomada ascendedor cigarros aparelho conectado tomada nada funciona embora v,0
recebi antes prazo produto ótimo bem embalado,2
boa entrega tempo certo valeu pena,2
segunda vez tentei comprar loja pedido entregue prazo,0
bom,1
recomendo outras pessoa,2
produto excelente preço melhor ainda entrega prazo perfeito,2
produto entregue antes prazo bem embalado parabéns toda equip,2
lojista enviou produto própria embalagem virada avesso apresentação grosseira ia dar presente fazê lo tampa levemente amassada,1
ainda feito tosa principio boa,2
recebi apenas unidades previstas requeiro verificação acerto situação,0
excelent,2
mercadoria chegou antes prazo menor problema cliente satisfeita,2
adorei produto,2
veio faltando iten,0
recebi lg k demorando espera pois comprei antes pelicula valeuuu,2
nota fiscal emitida dia deram prazo entrega agora produto cheg,0
loja excelente anos compro aqui transtorno hora compra pois comprei painel finalização compra tava parcelado tudo junto final parcelou separado,2
tudo ocorreu beleza embalagem inadequada ofereceu proteção item comprado possuiu cd chegou quebrado,2
entrega prazo relógio bonito pensei maior reclamar,2
atendimento perfeito produto chegou antes previsto,2
obrigado,0
segundo site pineng consta relação códigos produtos falsificados caso comprar algo falsificado compraria internet sim camelô lojinha qualqu,0
cadeira chegou perfeito estado boa,2
ótimo produto chegou bem rápido,2
produto conforme anunciado entrega rapida,2
recomendo,2
farol preto veio cromado,1
gostei produto qualidade boa entrega dentro prazo,2
tapete fofinho recomendo,2
amei,2
gostei veio mola apoio folhas quebrada resto perfeita,0
lindas boa qualidade ótimo preço,2
bom,2
aberto chamado site ontem dia pois produto recebido diferente foto anuncio,0
chateada entregue deram satisfação falta respeito comigo filha indo escola mochila super chateada,0
comprei toalhas karsten recebi jogo tolhas pessima qualidade preciso devolver mercadoria,0
gostei produto,1
bom,2
parabéns produto entrega nota,2
boa qualidade chegou tempo previsto tudo certinho,2
adoro comprar lojas lannister produtos ótima qualidad,2
pedi duas unidades produto veio unidade ninguém retorno,0
ainda recebi produto apesar greve caminhoneiros demais produtos referentes pedido outros entregues preciso loja verifique junto transportadora,1
produto mostrado fone auricular cerca cm embalagem veio danificada rachada faltando pedaço vendedor retorna pedido devolução ressarcimento,0
gostei produto bacano deveria ter tamanhos raladores diferent,2
problemas pedido parceiro responde envia pedido errado retorna,0
ainda nao recebi produto,0
produto bom simples montar super prático rodinha,2
comprei jogos lencois cetim colcha agora recebi jogo lencol cor cobr,1
quase mês feito pedido relógio pago via boleem quer to agora nada mandei dois emails quer deram satisfação lojas oslit pra mim ta lannister prestigi,0
produto chegou hoje preciso sábado falta entrega precisa feita sexta feira dia,0
peças comprei veio veio caixinha vazia outra veio certo,0
comprei paguei produto ha dias ainda recebi,0
achei frete meio caro produto leve capa atrapalha pouco uso sensor biometrico dificil retirar ultima camada pelicula durante aplicação,2
entregou antes prazo estimado,2
entrega rápida lixadeira mandaram diferente comprei colocaram bilhete dizendo modelo enviaram atu,1
produto entregue antes prazo estipulado chegou perfeito estado bem embalado bem satisfeita recomendo,2
bom,1
ótimo,2
produto original conforme anúncio,2
excelente produto recomendo,2
chegou antes prazo,2
excelent,2
cancelaram compra sei motivo,0
conforme esperado,2
comprei produto enviaram outro similar perguntar queria troca,0
adorei,2
produto boa qualidade simples usar confortável ergonômico,2
comprei relogio veio outro mandei msgs ninguém responde ninguém retorna vendi pra amiga pra perder dinheiro compreeem mandam errado respondem client,0
apesar greve caminhoneiros atraso,2
produto original lacrado nota,2
produto apenas veio trincado parte plástica aonde emenda tudo bem,2
chegou bem antes previsto três dias após aprovação pedido bom,2
nakjsk,2
tapete veio correto porém todo dobrado coloquei esticado ver irá desamassar caso desamasse devolverei dia,2
ótimo vendedor recomendo,2
recebi produto diferente comprei comprei luminária branca fria entregaram neutra trata produto instalação cliente vou perder prazo entrega serviço,0
satisfeita compra produto eficácia baratheon,2
descrição dizia feito gel,1
excelente produto,2
nunca vi demorar tanto pra entrega internet primeira vez,0
super recomendo chegou bem antes prazo,2
gostei produto tamanho qualidade porem cor interna luminária conforme descrito gostei cor,2
produto qualidad,2
ja faz mes fiz oedido conjunto potes cozinha aluminio branco bolas pretasme ate agora recebi quero saber providençia empresa ira tomar,0
adorei,2
produto chegou bem antes prazo estipulado recomendo,2
achei blackout viria tecido cima,0
ótima loja sempre primeira opção compra,2
apesar ter demorado esperado recomendo loja pois produto chegou esperado creio demora deu motivos correio,2
gostei prazo entrega,2
sinceramente comprei navalha kit tesouras fio navalha marcar lista veio errado rastreamento produto indica veio kit tesouras invés venho navalha queria explica,0
carregador diferente foto paralelo,0
produto lindo ótima qualidade bolsa bem grand,2
caixa veio furada fiquei preocupado integridade produto tudo norm,1
entregue prazo problema,2
produto oferecido anúncio entregue difere forma altera funcionamento,0
chegou antes prazo parabén,2
bom empresa séria nesse brasil confiar brasil jeito sim empresas tipo lannister orgulhamos brasileiro recomendo,2
lojas americana cumpre vende produto chegou antes prazo obrigado,2
otima,2
recebi antes prazo,2
livro super bem embalado caprichosamente bem protegido qualquer problema viagem demorou entregar conta greve correios site stark possível rastrear certinho,2
amei produto exatamente descrito anúncio perfeito bem trabalho detalhes enfim amei msm obg,2
adorei precisava deixa hambiente elegante produto boa qualidad,2
recomendo,2
fiz compra pedido chegou dar entregu,0
produto ótimo,2
loja confiável havia comprado outra vez,1
recebi pedido corretamente porém veio acompanhado nota fisca,1
infelizmente cartucho deu impressora canon mg,1
vcs deveriam mandar manual português recomendo,2
tudo certo chegou tempo certo veio tudo ok,2
excelent,2
produtos vieram bem embalados exatemente imagens perfeito,1
otimo,2
ainda recebi produto nenhuma orientação sobre fazer loja,0
bom,2
ainda aguardando produto,0
produto entregue tento falar empresa lannister targaryene instabilidade página consigo cancelar compra total desrespeito client,0
super bom colchão superou expectativas entrega super rápida,2
gente fiz pedido bebedouro so entregue outras entregu,1
bom comprar voces recebi antes prazo,2
comprei tapete x recebi x lannister opcao troca produto errado ressarcir cartão trocar vale site havia ainda anúncio comprei,0
tudo ok,2
case tablet veio perfeita suporte tablet veio defeito encaixe alem produto frágil segurar tablet caro entrega antes prazo loja impecável,0
ainda recebi produto,0
tudo funko super valeu pena,2
posso avaliar produto posso avaliar tempo entrega sinal atrasado,0
produto cumpre promete achei qualidade inferior outra capa comprei outra loja alças prender encosto banco poderiam resistent,2
produto bom material resistent,2
experiencia compras mercado livre acho entrega via correios poeria rápida postagem,2
embora havido problemas entrega correios produto cheg,2
prazo enorme entregam,0
tudo ok porém ainda testei cartucho tinta,2
nota,2
entrega rápida produto qualidade recomendo,2
perto vencer validade informado forma clara anúncio claro objetivo enganar consumidor,0
maior imaginava moderno lindo vai deixar linda decoração sala,2
produto entregue prazo tudo certinho recomendo,2
produto inferior esperado desejo devolve lo,0
fiz pedido paguei dia valor produto hoje mês chegou produto residência vou ter acionar órgão competent,0
comprei dois kits recebi pessoa separou achou shampu bálsamo kit contém shampu bálsamo recebi,0
super agil entraga,2
produto venceu prazo entrega ontem,0
veio cor fiz compra,0
quero cancelar pedido,0
luminária bonita atendeu expectativa chegou rapidinho,2
momento recebi encomenda confiança,0
produto chegou bem antes prazo estimado relação qualidade esperava pouco melhor bonita,2
produto atendeu expectativa,2
efetuar rastreio consta trânsito dia,1
pedido chegou tempo previsto produto pouco inferior esperava creio usarei dia dia,1
excelente produto,1
ótimo produto combina tudo chegou tudo certinho dentro prazo,2
ótimo produto entrega antes previsto,2
mercadorias bem embaladas entregues prazo estabelecido,2
entrega rápida,2
produto ótimo acabamento recomendado,2
posso avaliar sei oqu,0
passou prazo entrega ainda recebi produto,0
so gostaria ter recebido caixinha melhor bonita guardar cordao,2
comprei tempo comprei dois tempo sei lá porque enviaram dois filtros separados chegou apenas outro chegou hoje ainda obtive nenhuma resposta loja,0
entregue antes prazo continua ótimo atendimento abraço,2
ok,2
contente produto recebi antes prazo,2
recomendo amigo,1
consegui achar descrição produto site esperava bolsas maiores realmente assim atenderiam necessidad,2
comprei x mandaram x inútil pra mim usei ferramenta stark pra entrar contato agora ninguém respondeu,0
satisfeita,2
menos gostei,1
entrega antes prazo produto boa qualidad,2
ótimo,2
produto funciona aparentemente produto origin,0
ruin,0
produto comprei propaganda enganoza pois suporte suporta peso cellular fica caindo chão carro gostaria saber fico situação antonio,0
joia,2
produto chegou antes prazo recomendo,2
bonecas veio chupeta,1
comprei panelas veio apena,0
nota emitida cansei solicitei stark cancelamento devolução cupom reais recebi cupom valor total obrigado comprar algo preciso lixo,0
super recomendo produtos maravilhoso,2
protocolizada junto stark pedido cancelamento compra aguardando resposta responsável,0
marerial qualidade tamando ficou perfeito,2
,2
entrega prazo produto correto bem embalado bom estado,2
sempre comprei neste site nunca qualquer problema tanto prazo produto,2
pedido chegou quantidade correta faltou suporte peito cinta peitoral camera gopro go pro faltou adaptador conector p macho p femea estereo microfone sendo,0
chegou antes prazo estimado,2
gostei,2
funcionou perfeito,2
quase mês fiz pedido produto ainda cheg,0
produto boa qualidade resultado esperado acho perdi dinheiro,2
momento recebi produto,0
bom produto,2
toner funciona impressão péssima qualidade quase dá pra ver impressão,0
amei veio certinho chegou bem rápido,2
produto bom custo benefício pedir troca conta tamanho descrito errado correto x x cm axlxp contando rodas mala cm profund,2
entrega rápida,2
,2
bonito satisfeita materi,2
bom,2
tudo conforme esperado entrega rápida bem antes prazo,2
bolsa caçamba veio ford ranger invés fronti,0
entrega prazo,2
vou devolver produto,0
chegou antes prazo entrega bom produto recomendo,2
entrega super rápida antes prazo,2
fiquei satisfeito comprei gostei prazo entrega tudo ok chegou bem ant,2
comprem película cola veio ressecada cola algo tipo atrapalha touch screen,0
produto chegou super rápido veio tudo certo,2
recomendo todo,2
ainda nao cheg,1
ótimo custo beneficio recomendo,2
produto entregue necessidade retirar correio,0
ainda aguardando,1
ótimo produto entrega rápida antes prazo,2
fronhas chegaram antes prazo previsto adorei mercadoria cumpre promet,2
chegou tudo direitinho data correta,2
ainda testei embalagem impecável tudo separado certinho vem dentro bolsa compartimentada agrad,2
entregue apenas itens segundo,0
tudo transcorreu conforme acertado gostaria adquirir consta tela dessas capas tamanho encomenda enviando medida dois som mesa viável,2
otimo produto,2
produto entregue antes prazo boa qualidade nenhum problema,2
ótima qualidade preço maravilhoso chegou bem antes prazo super recomendo,2
recomendo,2
vamos torcer produto correto pois celular comprei capa chegou ainda claramente alguns parceiros confiáveis outro,2
entrega prazo produto perfeitas condiçõ,2
chegou dois dias bom,2
super,2
valeu pena entrega antes prazo super recomendo,2
vbvbsgfbsbf,2
comprei kit dez pratos esmaltados porém quatro pratos vieram amassado,1
fone chegou perfeito estado rápido,2
produto parece foto,0
produto bom excelente qualidade entrega prazo,2
tudo certo entrega tudo certo produto super recomendo,2
bom mostra descricao,2
gostei recomendo loja,2
gostei linda ainda usei posso avaliar mantem gelado leg,2
equipamento vendido bem inferior comprei fotos noção diferença achando tratava oportunidade preço melhor equipamento inferior,1
recomendo bom produto,2
comprei lâmpadas veio,0
recebi antes prazo recomendo loja sim,2
bom produto entregue prazo,2
produto entregue dentro prazo porem comprados dois cartucho impressora veio separado outro site havia código rastreio consegui atendimento america,1
produto qualidade pontualidade fundamental recomendo todo,2
bonita boa qualidad,2
simplesmente horrível produto,0
gostei produto entrega antes prazo recomendaria amigo,2
produto atendeu expectativa,0
produto ok porém cor bem clara mostra foto,2
acho devia enviar logo produto sempre compro dessa vez produto ainda cheg,0
ótimo,2
produto entregue parcialmente recebi comprei,0
recebi produto porém abrir produto danificado pior tudo grande dificuldade reclamar após dias nenhuma resposta,0
ótima qualidad,2
produto enviado falaificado,0
gostei recomendo loja produto grato,2
super satisfeita recebi antes prazo,2
entrega super rápida dia outro qualidade produto simplismente fantástica,2
parabén,2
pior compra vida comprei dia receber dia hoje recebi ninguém ligou dar satisfação pior comprar vida,0
primeiramente parabéns loja targaryen entregou produto menos semana perfeito estado produtos acima esperado bom super recomendo,2
produto chegou bem antes prazo estipulado super recomendo vou voltar comprar novament,2
gostei capa veio estampa certa tempo certo capinha grossa bom,2
quero dinheiro volta,0
retirar correio sido informada entregaria casa feito pedido,1
dia usei encheu bolinhas fino demai,0
veio totalmente errado material falado site porcaria queria trocar consegui,0
ótima,2
entrega rápida produto qualidade além lindo,2
produto ainda entregue realizei compras recentes lannister porem produto deste pedido ainda entregu,0
produto chegou dentro prazo especificado loja vendedora perfeito estado nenhuma avaria mesmo,2
recebi antes prazo excelent,2
boa,2
entrega rápida,2
chegou bem antes prazo super bem embalado vale pena comprar,2
entrega rápida semana antes previsto,2
comprei outros produtos devido problema técnico site lannister ainda recebi central atendimento deixa desejar,2
produto ótimo,2
recomendo pontu,2
satisfeito produto prazo entrega cumprido recomendo,2
comprei produto havia estoque logo recebi informação havia estoque aguardo providencias resposta trocar produto outro dinheiro volta,1
bom entregu,2
entrega rápida parabén,2
produto correspondeu discriçõ,2
boa,2
comprei pendente antes emitorem nf postarem cancelei pois achei outro agradava melhor assim recebi produto acredito devia ter controle melhor,0
produto superou expectativas parabéns qualidade produto,2
linda peças ficou maravilha,2
boa tarde comprei produto v porem veio v gostaria trocar,1
produto demorou cerca dois meses chegar além disso produto contém medidas divulgadas anúncio recomendo,0
so recebi rolo mm falta rolo mm ainda nao chegou catia,1
produto ainda entregue deixo opinião aqui observação expiração data,0
cumprimento prazo ocorreu entretanto qualidade produto péssima produto vem embalagem original philips apresenta diferenças lamina original uso demonstrou p,0
comprei veio espero resposta pois pedido veio errado aguardo outro ah,0
confortavel,2
entrega produto ok recomendo,2
produto péssima qualidade além vir errado pedi cor preta veio branca pedi x veio veio ilhós soltos blackout todo amassado quero dinheiro volta,0
frete caro,2
entregaram,0
produto falsificado veio manual certificado garantia ori,0
pouco pequenas pol desconhecimento produtos mostram vem fio corte bom sendo bastante usada estabelecimento recomendo,2
produto exatamente igual sit,2
achei produto leve relação modelos antigos completamente feito plástico entenda ducha corona potent,0
super satisfeita compra,2
produto qualidad,2
produto diferente pedido agora nenhuma resposta sobre substituição,0
ótimo,2
tudo ótimo produto ótimo entrega antes prazo,2
bom,2
bom recomendo,2
despacho entrega rápida,2
comprei dois pneus paguei dois pneus pedido efetuado pago dois pneus recebi casa nota fiscal referente dois pneus pneu dentro embalagem aguardo posicionamento respeito,0
recomendo todos comprarem,2
pedido feito duas vezes entregue primeira vez número casa errado segunda recebi justificativa,0
produto ruim moldagem fraca,1
entregue apenas produtos comprei sendo falta entregue codigo pra rastrear diz ja encerrado,0
produto entregu,0
além demora emitir nota fiscal demora devolução dinheiro caso cancelamento compra demora eternidade faz semanas solicitei cancelamento nada,0
comprei recibie outro,0
gostei recomendo confiança,0
demorou pouco entrega avisada tudo certo produto chegou gostei,2
produto ótimo esperava,2
recebi produto obtive nenhuma resposta ainda,0
relógio lindo correspondeu expectativas hora fazer ajustes achei bem difícil precisei ir relojoaria ajustarem mim heheheheh,2
relógio bonito preciso vários recurso,2
esperando agora entrega produto nota fiscal faturada ainda faz mês data compra esperando alguma informação lannister sobre compra,0
momento recebimento produto,0
excelente entrega dentro prazo produto bem embalado,2
chegou antes prazo mercadoria excelente qualidad,2
transcorreu tudo bem vendedor mandou instruções cura,2
entregaram produto antes prazo excelent,2
